ack_ewma(ms),classes,freq,,,
14.9016,16.36,3,,,
7.16065,16.38,3,,,
4.06426,16.4,5,,,
98.2257,16.42,2,,,
40.4903,16.44,7,,,
17.3961,16.46,6,,,
8.15844,16.48,0,,,
18.2634,16.5,2,,,
8.50535,16.52,4,,,
4.60214,16.54,5,,,
3.04086,16.56,10,,,
2.41634,16.58,2,,,
5.16654,16.6,6,,,
3.26661,16.62,5,,,
2.50665,16.64,3,,,
2.20266,16.66,4,,,
2.08106,16.68,5,,,
2.03243,16.7,8,,,
2.01297,16.72,3,,,
1.40519,16.74,5,,,
1.16208,16.76,4,,,
6.46483,16.78,2,,,
3.78593,16.8,6,,,
1.36892,16.82,6,,,
5.34757,16.84,8,,,
3.33903,16.86,5,,,
2.0857,16.88,7,,,
1.43428,16.9,3,,,
1.77371,16.92,6,,,
1.90948,16.94,2,,,
1.96379,16.96,5,,,
1.98552,16.98,2,,,
1.99421,17,9,,,
1.99768,17.02,3,,,
80.2304,17.04,3,,,
33.2922,17.06,4,,,
14.5169,17.08,3,,,
11.2067,17.1,6,,,
5.6827,17.12,2,,,
97.0731,17.14,5,,,
40.0292,17.16,3,,,
17.2117,17.18,3,,,
8.08468,17.2,3,,,
17.6339,17.22,2,,,
8.25355,17.24,4,,,
4.50142,17.26,4,,,
3.00057,17.28,4,,,
3.60023,17.3,3,,,
2.64009,17.32,4,,,
2.25604,17.34,6,,,
1.50241,17.36,7,,,
6.60097,17.38,4,,,
3.84039,17.4,3,,,
2.73615,17.42,7,,,
2.29446,17.44,10,,,
2.11778,17.46,2,,,
2.04711,17.48,6,,,
2.01885,17.5,7,,,
2.00754,17.52,3,,,
3.20302,17.54,2,,,
2.48121,17.56,6,,,
2.19248,17.58,2,,,
2.07699,17.6,4,,,
2.0308,17.62,4,,,
1.16493,17.64,5,,,
6.46597,17.66,4,,,
3.78639,17.68,3,,,
1.77829,17.7,4,,,
1.91132,17.72,1,,,
1.96453,17.74,10,,,
1.98581,17.76,4,,,
1.99432,17.78,2,,,
1.99773,17.8,5,,,
1.99909,17.82,9,,,
77.1152,17.84,5,,,
32.0461,17.86,5,,,
18.2184,17.88,4,,,
8.48737,17.9,1,,,
9.39495,17.92,4,,,
4.35798,17.94,5,,,
