#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
3653201,1.26126e-09,1.26126e-09,600,188340,0,0,1,101711,101111,600,1.41201e-12,1.51233e-12,0.688508,1
3656121,6.30629e-11,6.30629e-11,600,192720,0,0,1,101711,101111,600,7.06005e-14,7.56166e-14,0.688508,1
3659041,3.15315e-12,3.15315e-12,600,197100,0,0,1,101711,101111,600,3.53003e-15,3.78083e-15,0.688508,1
3661961,1.57657e-13,1.57657e-13,600,201480,0,0,1,101711,101111,600,1.76501e-16,1.89042e-16,0.688508,1
3664881,7.88287e-15,7.88287e-15,600,205860,0,0,1,101711,101111,600,8.82507e-18,9.45208e-18,0.688508,1
3667801,3.94143e-16,3.94143e-16,600,210240,0,0,1,101711,101111,600,4.41253e-19,4.72604e-19,0.688508,1
3670721,1.97072e-17,1.97072e-17,600,214620,0,0,1,101711,101111,600,2.20627e-20,2.36302e-20,0.688508,1
3673641,9.85359e-19,9.85359e-19,600,219000,0,0,1,101711,101111,600,1.10313e-21,1.18151e-21,0.688508,1
3676561,4.9268e-20,4.9268e-20,600,223380,0,0,1,101711,101111,600,5.51567e-23,5.90756e-23,0.688508,1
3682401,570,570,600,60060,0,0,1,102311,101711,600,0.638129,0.683468,0.688508,1
3688241,28.5,28.5,600,63240,0,0,1,102311,101711,600,0.0319065,0.0341734,0.688508,1
3695541,1.425,1.425,600,62880,0,0,1,102311,101711,600,0.00159532,0.00170867,0.688508,1
3710141,0.0712501,0.0712501,600,57400,0,0,1,102311,101711,600,7.97662e-05,8.54336e-05,0.688508,1
3714521,0.0035625,0.0035625,600,46820,0,0,1,102311,101711,600,3.98831e-06,4.27168e-06,0.688508,1
3719261,0.000178125,0.000178125,600,44260,0,0,1,102311,101711,600,1.99416e-07,2.13584e-07,0.688508,1
3739701,4.75001,4.75001,600,42440,0,0,1,102316,101716,600,0.00531775,0.00569558,0.688508,1
3748461,0.237501,0.237501,600,26380,0,0,1,102316,101716,600,0.000265888,0.000284779,0.688508,1
3777761,1515.26,1515.26,600,1460,0,0,1,103911,103311,600,1.69637,1.8169,0.688508,2
3818641,1215.76,1215.76,600,1460,0,0,1,105111,104511,600,1.36108,1.45778,0.688508,2
