x,y,z
11.6337,26.2592,0.681815
11.6795,22.9768,0.681588
11.7196,29.1047,0.678889
11.7546,25.4666,0.674028
11.7853,22.2833,0.667275
11.8121,19.4979,0.658865
11.8356,17.0606,0.649007
11.8562,14.9281,0.637881
11.8741,13.0621,0.625646
11.8899,11.4293,0.61244
11.9036,10.0006,0.598385
11.9157,8.75055,0.583587
11.9262,7.65673,0.568139
11.9354,6.69964,0.552121
11.9435,5.86219,0.535606
11.9506,5.12941,0.518655
11.9568,4.48824,0.501324
11.9622,3.92721,0.483658
11.9669,3.43631,0.465701
11.971,3.00677,0.447488
11.9746,2.63092,0.429052
11.9778,2.30206,0.410421
11.9806,2.0143,0.391618
11.983,1.76251,0.372666
11.9851,1.5422,0.353583
11.987,1.34942,0.334385
11.9886,1.18075,0.315087
11.99,1.03315,0.295701
11.9913,0.904008,0.276238
11.9924,0.791007,0.256708
11.9933,0.692131,0.23712
11.9942,0.605615,0.21748
11.9949,0.529913,0.197795
11.9955,0.463674,0.178071
11.9961,0.405715,0.159562
11.9966,0.355,0.140867
11.997,0.310625,0.123258
11.9974,0.271797,0.107851
11.9977,0.237823,0.0943696
11.998,0.208095,0.0825734
13.4982,69.1821,0.0722517
14.811,63.5343,0.0632202
15.9596,58.5925,0.0553177
16.9646,52.7685,0.048403
17.8441,49.1724,0.0423526
18.6136,48.4009,0.0370585
19.0369,42.3507,0.0324262
18.1573,37.0569,0.0283729
64.3876,133.925,0.118576
59.3391,117.184,0.200004
54.9218,102.536,0.271254
51.0565,89.7191,0.333597
47.6745,78.5043,0.388147
44.7152,68.6912,0.435879
